Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,7,0,1,6,5,1,1,1,0
1119.0,2,2,2,2,2,0,2,2,0
1316.0,7,0,1,6,5,1,1,1,1
1452.0,7,0,1,6,5,1,3,1,1
1453.0,3,3,3,3,1,3,3,0,0
1454.0,2,2,2,2,2,0,2,2,0
1461.0,2,2,2,2,2,0,2,2,0
1463.0,2,2,2,2,2,0,2,2,0
1468.0,2,2,2,2,2,0,2,2,0
1472.0,4,8,0,5,1,2,3,0,0
1539.0,6,6,4,0,5,1,1,1,1
1578.0,2,2,2,2,2,0,2,2,0
1583.0,8,4,6,4,1,2,3,0,0
1587.0,4,8,0,5,1,2,3,0,0
1588.0,3,3,3,3,0,3,0,0,0
1589.0,7,0,1,6,5,1,1,1,1
1590.0,8,4,7,4,3,2,3,0,0
1592.0,7,0,1,6,5,1,1,1,1
1598.0,2,2,2,2,2,1,1,0,0
1747.0,6,6,3,3,5,3,1,0,0
1752.0,7,0,1,6,5,1,1,1,1
1755.0,7,0,1,6,5,1,1,1,1
1788.0,7,0,1,6,5,1,1,1,1
1858.0,6,6,4,0,3,1,1,1,0
1953.0,3,3,3,3,0,3,0,0,0
1963.0,2,2,2,2,2,0,2,2,0
