Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,2,3,0,1,1,0,1,2,0
1119.0,5,4,2,0,4,3,3,2,0
1316.0,2,0,0,1,1,0,1,2,0
1452.0,2,3,0,1,1,0,1,2,0
1453.0,7,0,2,1,1,0,1,2,0
1454.0,2,3,0,1,1,0,1,2,0
1461.0,2,0,0,1,1,0,1,2,0
1463.0,2,3,0,1,1,0,1,2,0
1468.0,2,3,0,1,1,0,1,2,0
1472.0,2,0,2,1,1,0,1,2,0
1539.0,2,0,0,1,1,0,1,2,0
1578.0,8,1,0,3,5,0,1,2,0
1583.0,2,0,0,1,1,0,1,2,0
1587.0,7,0,2,1,2,3,2,2,0
1588.0,2,3,0,1,1,0,1,2,0
1589.0,2,0,0,1,1,0,1,2,0
1590.0,2,3,0,1,1,0,1,2,0
1592.0,2,0,0,1,1,0,1,2,0
1598.0,2,0,0,1,1,0,1,2,0
1747.0,2,0,0,1,1,0,1,2,0
1752.0,2,0,0,1,1,0,1,2,0
1755.0,2,3,0,1,1,0,1,2,0
1788.0,2,0,0,1,1,0,1,2,0
1858.0,2,0,0,1,1,0,1,2,0
1953.0,2,0,0,1,1,0,1,2,0
1963.0,2,3,0,2,1,0,1,2,0
