,Image,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
0,MB16CC001,3,3,3,3,3,0,1,0,0
1,MB16CC001,0,5,5,4,5,1,0,2,0
2,MB16CC001,7,1,4,1,0,1,0,2,0
3,MB16CC001,4,2,2,0,2,3,2,1,1
4,MB16CC001,5,1,4,1,0,1,0,2,0
5,MB16CC001,1,4,0,6,5,1,0,2,0
6,MB16CC001,7,5,5,4,5,1,0,2,0
7,MB16CC001,4,2,2,0,2,3,2,1,1
8,MB16CC001,4,2,2,0,2,3,2,1,1
9,MB16CC001,4,2,2,0,2,3,2,1,1
10,MB16CC001,6,7,5,4,5,1,0,2,0
11,MB16CC001,4,2,2,0,2,3,2,1,1
12,MB16CC001,4,2,2,0,2,3,2,1,1
13,MB16CC001,7,5,5,4,5,1,0,2,0
14,MB16CC001,4,2,2,0,2,3,2,1,1
15,MB16CC001,4,2,2,0,2,3,2,1,1
16,MB16CC001,7,1,4,1,0,1,0,2,0
17,MB16CC001,7,1,4,1,0,1,0,2,0
18,MB16CC001,7,1,4,1,0,1,0,2,0
19,MB16CC001,0,5,5,4,5,1,0,2,0
20,MB16CC001,7,1,4,1,0,1,0,2,0
21,MB16CC001,7,5,5,4,5,1,0,2,0
22,MB16CC001,4,2,2,0,2,3,2,1,1
23,MB16CC001,1,4,0,6,0,1,0,2,0
24,MB16CC001,4,2,2,0,2,3,2,1,1
25,MB16CC001,4,2,2,0,2,3,2,1,1
26,MB16CC001,4,2,2,0,2,3,2,1,1
27,MB16CC001,7,5,5,4,5,1,0,2,0
28,MB16CC001,7,1,4,1,0,1,0,2,0
29,MB16CC001,4,2,2,0,2,3,2,1,1
30,MB16CC002,2,0,1,2,4,2,3,0,0
31,MB16CC002,7,5,5,4,5,1,0,2,0
32,MB16CC002,7,5,5,4,5,1,0,2,0
33,MB16CC002,7,5,5,4,5,1,0,2,0
34,MB16CC002,7,5,5,1,0,1,0,2,0
35,MB16CC002,7,5,5,4,5,1,0,2,0
36,MB16CC002,7,5,5,4,5,1,0,2,0
37,MB16CC002,7,1,4,1,0,1,0,2,0
38,MB16CC002,7,5,5,4,5,1,0,2,0
