Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,3,2,0,6,2,0,0,2,1
1119.0,0,4,2,3,4,1,1,0,1
1316.0,7,0,1,3,4,1,1,0,0
1452.0,7,0,1,3,4,1,1,0,0
1453.0,7,0,1,3,4,1,1,0,0
1454.0,3,2,0,6,2,0,0,2,1
1461.0,3,2,0,6,2,0,0,2,1
1463.0,3,2,0,6,2,0,0,0,1
1468.0,3,2,0,6,2,0,0,2,1
1472.0,7,0,1,3,4,1,1,0,0
1539.0,7,0,1,3,4,1,1,0,0
1578.0,3,2,0,6,2,0,0,2,1
1583.0,7,0,1,3,4,1,1,0,0
1587.0,7,0,1,3,4,1,1,0,0
1588.0,2,4,2,1,1,2,2,1,1
1589.0,7,0,1,3,4,1,1,0,0
1590.0,7,0,1,3,4,1,1,0,0
1592.0,7,0,1,3,4,1,1,0,0
1598.0,3,2,0,6,2,0,0,2,1
1747.0,7,0,1,3,4,1,1,0,0
1752.0,7,0,1,3,4,1,1,0,0
1755.0,7,0,1,3,4,1,1,0,0
1788.0,7,0,1,3,4,1,1,0,0
1858.0,5,0,1,0,0,1,1,0,0
1953.0,2,4,2,1,1,2,2,1,1
1963.0,3,2,0,6,2,0,0,2,1
