,Image,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
0,MB16CC001,7,1,2,0,4,1,3,2,1
1,MB16CC001,8,7,7,1,1,0,1,1,0
2,MB16CC001,0,0,1,1,1,0,1,1,0
3,MB16CC001,3,3,3,3,3,3,0,0,0
4,MB16CC001,4,6,5,4,0,2,2,0,0
5,MB16CC001,5,2,0,2,0,2,2,0,0
6,MB16CC001,0,0,1,1,1,0,1,1,0
7,MB16CC001,3,3,3,3,3,3,0,0,0
8,MB16CC001,5,2,0,2,0,2,2,0,0
9,MB16CC001,5,2,0,2,0,2,2,0,0
10,MB16CC001,0,7,7,1,1,0,1,1,0
11,MB16CC001,3,3,3,3,3,3,0,0,0
12,MB16CC001,1,8,5,3,3,3,0,0,0
13,MB16CC001,8,7,7,1,1,0,1,1,0
14,MB16CC001,5,2,0,2,0,2,2,0,0
15,MB16CC001,5,2,0,2,0,2,2,0,0
16,MB16CC001,5,2,0,2,0,2,2,0,0
17,MB16CC001,0,0,1,1,1,0,1,1,0
18,MB16CC001,4,6,5,4,0,2,2,0,0
19,MB16CC001,8,7,7,1,1,0,1,1,0
20,MB16CC001,0,0,1,1,1,0,1,1,0
21,MB16CC001,1,8,5,4,0,2,0,0,0
22,MB16CC001,5,2,0,2,0,2,2,0,0
23,MB16CC001,5,2,0,2,0,2,2,0,0
24,MB16CC001,5,2,0,2,0,2,2,0,0
25,MB16CC001,5,2,0,2,0,2,2,0,0
26,MB16CC001,5,2,0,2,0,2,2,0,0
27,MB16CC001,8,7,7,1,1,0,1,1,0
28,MB16CC001,5,2,0,2,0,2,2,0,0
29,MB16CC001,5,2,0,2,0,2,2,0,0
30,MB16CC002,0,0,1,1,1,0,1,1,0
31,MB16CC002,5,2,0,2,0,2,2,0,0
32,MB16CC002,5,2,0,2,0,2,2,0,0
33,MB16CC002,8,7,7,1,1,0,1,1,0
34,MB16CC002,0,0,1,1,1,0,1,1,0
35,MB16CC002,8,7,7,1,1,0,1,1,0
36,MB16CC002,0,7,7,1,1,0,1,1,0
37,MB16CC002,0,0,1,1,1,0,1,1,0
38,MB16CC002,0,0,1,1,1,0,1,1,0
39,MB16CC002,8,7,7,1,1,0,1,1,0
40,MB16CC002,0,0,1,1,1,0,1,1,0
41,MB16CC002,0,0,1,1,1,0,1,1,0
42,MB16CC002,7,1,2,0,4,1,3,2,1
43,MB16CC002,4,6,5,4,0,2,2,0,0
44,MB16CC002,8,7,7,1,1,0,1,1,0
45,MB16CC002,5,2,0,2,0,2,2,0,0
46,MB16CC002,5,2,0,2,0,2,2,0,0
47,MB16CC002,0,0,1,1,1,0,1,1,0
48,MB16CC002,0,0,1,1,1,0,1,1,0
49,MB16CC002,1,8,5,4,0,2,2,0,0
50,MB16CC002,6,4,4,5,5,4,0,0,0
51,MB16CC002,4,6,5,4,0,2,2,0,0
52,MB16CC002,5,2,0,2,0,2,2,0,0
