Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,0,0,7,1,0,1,0,1,0
1119.0,0,4,5,6,4,3,0,1,0
1316.0,6,0,7,1,0,1,0,1,0
1452.0,2,3,4,0,1,2,1,0,1
1453.0,8,8,4,0,1,2,1,0,1
1454.0,4,7,2,4,3,1,0,1,0
1461.0,4,7,2,4,3,0,2,1,0
1463.0,4,7,2,1,1,2,0,1,0
1468.0,4,7,7,1,0,1,0,1,0
1472.0,8,8,4,5,1,2,1,0,1
1539.0,2,3,4,0,1,2,1,0,1
1578.0,4,7,2,4,3,0,2,1,0
1583.0,2,3,4,0,1,2,1,0,1
1587.0,2,3,4,0,1,2,1,0,1
1588.0,5,6,6,3,5,4,3,2,0
1589.0,9,0,7,1,0,1,0,1,0
1590.0,2,3,4,0,1,2,1,0,1
1592.0,6,0,7,1,0,1,0,1,0
1598.0,2,0,4,1,1,2,0,1,0
1747.0,2,3,4,0,1,2,1,0,0
1752.0,2,0,7,1,1,2,0,0,0
1755.0,2,3,4,1,0,1,0,1,0
1788.0,9,0,7,1,0,1,0,1,0
1858.0,2,3,4,0,1,2,1,0,0
1953.0,3,5,3,2,2,4,0,2,0
1963.0,4,7,2,4,3,0,2,1,0
