,Image,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
0,MB16CC001,6,8,3,2,2,3,3,0,1
1,MB16CC001,0,5,2,6,1,0,0,1,0
2,MB16CC001,0,5,2,6,1,0,0,1,0
3,MB16CC001,9,6,6,5,4,1,2,0,1
4,MB16CC001,0,5,2,6,1,0,0,1,0
5,MB16CC001,9,6,6,5,4,1,2,0,1
6,MB16CC001,7,3,0,1,1,0,0,1,0
7,MB16CC001,3,4,5,3,3,1,2,0,1
8,MB16CC001,9,6,6,5,4,1,2,0,1
9,MB16CC001,9,6,6,5,4,1,2,0,1
10,MB16CC001,7,3,0,1,0,4,1,2,0
11,MB16CC001,9,6,6,5,4,1,2,0,1
12,MB16CC001,9,6,6,5,4,1,2,0,1
13,MB16CC001,0,5,2,6,1,0,0,1,0
14,MB16CC001,9,6,6,5,4,1,2,0,1
15,MB16CC001,9,6,6,5,4,1,2,0,1
16,MB16CC001,5,1,1,5,4,1,2,0,1
17,MB16CC001,7,3,0,1,1,0,0,1,0
18,MB16CC001,0,5,2,6,1,0,0,1,0
19,MB16CC001,0,5,2,6,1,0,0,1,0
20,MB16CC001,7,3,0,1,1,0,0,1,0
21,MB16CC001,3,4,5,3,3,1,2,0,1
22,MB16CC001,9,6,6,5,4,1,2,0,1
23,MB16CC001,9,6,6,5,4,1,2,0,1
24,MB16CC001,9,6,6,5,4,1,2,0,1
25,MB16CC001,9,6,6,5,4,1,2,0,1
26,MB16CC001,9,6,6,5,4,1,2,0,1
27,MB16CC001,0,5,2,6,1,0,0,1,0
28,MB16CC001,0,5,2,6,1,0,0,1,0
29,MB16CC001,9,6,6,5,4,1,2,0,1
30,MB16CC002,1,7,7,0,0,4,1,2,1
31,MB16CC002,5,1,1,3,3,1,2,0,1
32,MB16CC002,5,1,1,6,1,1,2,0,0
33,MB16CC002,0,5,2,6,1,0,0,1,0
34,MB16CC002,0,5,2,6,1,0,0,1,0
35,MB16CC002,0,5,2,6,1,0,0,1,0
36,MB16CC002,0,5,2,6,1,0,0,1,0
37,MB16CC002,0,5,2,6,1,0,0,1,0
38,MB16CC002,7,3,0,1,1,0,0,1,0
39,MB16CC002,0,5,2,6,1,0,0,1,0
40,MB16CC002,7,3,0,1,1,0,0,1,0
41,MB16CC002,0,5,2,6,1,0,0,1,0
42,MB16CC002,4,2,4,4,5,2,2,0,1
43,MB16CC002,0,5,2,6,1,0,0,1,0
44,MB16CC002,0,5,2,6,1,0,0,1,0
45,MB16CC002,9,6,6,5,4,1,2,0,1
46,MB16CC002,5,1,1,5,4,1,2,0,1
47,MB16CC002,7,3,2,6,1,0,0,1,0
48,MB16CC002,7,3,0,1,1,0,0,1,0
49,MB16CC002,5,1,1,3,3,1,2,0,1
50,MB16CC002,4,2,4,4,5,2,2,0,1
51,MB16CC002,0,5,2,6,1,0,0,1,0
52,MB16CC002,5,1,1,3,3,1,2,0,1
