,Image,K=10,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9
0,MB16CC001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,MB16CC001,3.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
2,MB16CC001,3.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,3.0
3,MB16CC001,7.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,5.0
4,MB16CC001,3.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,3.0
5,MB16CC001,9.0,0.0,0.0,3.0,2.0,3.0,6.0,7.0,5.0
6,MB16CC001,3.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0
7,MB16CC001,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
8,MB16CC001,7.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,5.0
9,MB16CC001,7.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,5.0
10,MB16CC001,2.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
11,MB16CC001,7.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,5.0
12,MB16CC001,7.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,5.0
13,MB16CC001,3.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
14,MB16CC001,7.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,5.0
15,MB16CC001,7.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,5.0
16,MB16CC001,9.0,0.0,0.0,3.0,0.0,0.0,6.0,5.0,3.0
17,MB16CC001,3.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0
18,MB16CC001,3.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,3.0
19,MB16CC001,3.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
20,MB16CC001,3.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0
21,MB16CC001,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0
22,MB16CC001,7.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,5.0
23,MB16CC001,9.0,0.0,0.0,3.0,2.0,2.0,6.0,7.0,5.0
24,MB16CC001,7.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,5.0
25,MB16CC001,7.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,5.0
26,MB16CC001,7.0,0.0,0.0,0.0,2.0,2.0,6.0,5.0,5.0
27,MB16CC001,3.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
28,MB16CC001,3.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0
29,MB16CC001,7.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,5.0
30,MB16CC002,2.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0
31,MB16CC002,9.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,8.0
32,MB16CC002,9.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0
33,MB16CC002,3.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0
34,MB16CC002,3.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,3.0
35,MB16CC002,3.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0
36,MB16CC002,3.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,3.0
37,MB16CC002,3.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,3.0
38,MB16CC002,3.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
