,Image,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
0,MB16CC004,7,0,2,1,2,2,3,2,0
1,MB16CC004,8,1,7,3,5,0,1,2,1
2,MB16CC004,7,0,2,1,1,0,1,2,0
3,MB16CC004,2,0,2,1,1,0,1,2,0
4,MB16CC004,3,3,0,2,1,0,1,2,0
5,MB16CC004,2,0,2,1,1,0,1,2,0
6,MB16CC004,8,1,7,3,5,1,0,0,1
7,MB16CC004,3,3,0,2,1,0,1,2,1
8,MB16CC004,2,0,2,1,1,0,1,2,0
9,MB16CC004,1,6,1,2,1,3,2,1,0
10,MB16CC004,2,3,0,1,1,0,1,2,0
11,MB16CC004,1,6,1,2,1,3,2,1,0
12,MB16CC004,3,3,0,2,1,0,1,2,0
13,MB16CC004,1,6,1,2,4,3,2,1,0
14,MB16CC004,2,3,0,1,1,0,1,2,0
15,MB16CC004,1,6,1,2,1,0,2,1,0
16,MB16CC004,8,1,7,3,5,0,1,2,0
17,MB16CC004,3,3,1,2,1,0,2,1,0
18,MB16CC004,2,0,2,1,1,0,1,2,0
19,MB16CC004,2,3,0,3,1,0,1,2,0
20,MB16CC004,1,6,1,1,1,3,2,1,0
21,MB16CC004,8,1,7,3,5,0,1,2,1
22,MB16CC004,2,3,0,1,1,0,1,1,0
23,MB16CC005,7,0,2,0,4,3,2,1,0
24,MB16CC005,1,6,1,2,1,3,2,1,0
25,MB16CC005,3,3,0,2,1,0,1,2,0
26,MB16CC005,2,0,2,1,1,0,1,2,0
27,MB16CC005,3,3,0,3,5,0,1,0,1
28,MB16CC005,3,6,1,2,3,4,2,1,1
29,MB16CC005,2,0,2,1,1,0,1,2,0
30,MB16CC005,4,2,4,4,3,4,0,0,1
31,MB16CC005,3,6,1,2,1,3,2,1,0
32,MB16CC005,8,1,7,3,5,1,1,0,1
33,MB16CC005,8,0,7,1,5,0,1,2,0
34,MB16CC005,2,3,0,2,1,0,1,1,0
35,MB16CC005,7,4,2,0,4,2,3,1,0
36,MB16CC005,2,0,2,1,1,0,1,2,0
37,MB16CC005,3,1,0,3,5,0,1,0,1
38,MB16CC005,1,6,1,2,1,3,2,1,0
39,MB16CC005,7,0,2,5,2,2,3,2,0
40,MB16CC005,2,0,2,1,1,0,1,2,0
41,MB16CC005,8,1,7,3,5,1,0,0,1
42,MB16CC005,7,0,2,1,1,2,1,2,0
43,MB16CC005,5,4,5,0,4,2,3,1,0
44,MB16CC005,5,4,5,0,4,3,2,1,0
45,MB16CC005,8,1,7,3,5,0,1,2,1
46,MB16CC005,2,0,2,1,1,0,2,1,0
47,MB16CC005,7,0,2,1,2,2,3,2,0
48,MB16CC005,1,6,1,2,1,0,2,1,0
49,MB16CC005,8,1,7,3,5,0,1,2,0
50,MB16CC005,8,1,7,3,5,0,1,2,1
51,MB16CC005,1,6,1,2,1,3,2,1,0
52,MB16CC005,1,4,2,0,4,3,2,1,0
53,MB16CC005,3,3,0,3,5,0,1,2,1
54,MB16CC005,2,3,0,1,1,0,1,2,0
55,MB16CC005,1,0,2,1,1,3,2,1,0
56,MB16CC005,7,0,2,5,2,2,3,2,0
57,MB16CC005,7,0,2,5,2,2,3,2,0
58,MB16CC005,8,1,7,3,5,0,1,2,0
59,MB16CC005,1,6,1,2,1,3,2,1,0
60,MB16CC005,7,0,2,1,1,0,1,2,0
61,MB16CC005,3,6,1,2,3,3,2,1,0
62,MB16CC005,4,2,4,4,3,4,0,0,1
63,MB16CC005,7,0,2,1,5,0,1,2,0
64,MB16CC005,2,0,2,1,1,0,1,2,0
65,MB16CC006,5,4,5,0,4,3,2,1,0
66,MB16CC006,8,1,7,3,5,1,0,0,1
67,MB16CC006,2,0,2,1,1,0,1,2,0
68,MB16CC006,3,3,0,3,1,0,1,2,1
69,MB16CC006,7,0,2,1,2,2,3,2,0
70,MB16CC006,7,0,7,1,2,0,1,2,0
71,MB16CC006,1,6,1,2,4,3,2,1,0
72,MB16CC006,3,3,0,3,5,0,1,2,1
73,MB16CC006,3,2,4,4,3,4,0,0,1
74,MB16CC006,2,0,0,1,5,0,1,2,0
75,MB16CC006,2,3,0,3,5,0,1,2,0
76,MB16CC006,1,6,1,2,1,3,2,1,0
77,MB16CC006,0,7,7,5,2,2,3,2,0
78,MB16CC006,2,0,0,1,5,0,1,2,0
79,MB16CC006,3,1,0,3,5,0,0,0,1
80,MB16CC007,7,0,2,1,1,2,1,2,0
81,MB16CC007,8,1,7,3,5,1,0,0,1
82,MB16CC007,2,0,0,1,1,0,1,2,0
83,MB16CC007,3,3,1,2,1,0,2,1,0
84,MB16CC007,3,3,0,3,5,0,1,2,1
