clustering_method,metric,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10
histogram_K=10,NMI,0.03623727177644555,0.05022298562904985,0.08719221966699343,0.11181235161327314,0.12588710926075303,0.1241715031978992,0.13077370701501784,0.12976383572425515,0.1311979055191774
histogram_K=10,AMI,0.03619481095277982,0.050150290810226844,0.08709462640968804,0.11168899049992038,0.12574212110813748,0.12400396120599225,0.13058892658885757,0.1295592582245384,0.13097413209764408
histogram_K=10,ARI,0.02073139573810592,0.024614103017748284,0.04190307327741304,0.04495044178067692,0.0431040963566497,0.042088269723088725,0.04921234750891353,0.05029725001600842,0.05269617628970243
histogram_K=10,HOMOGENEITY,0.023397976041685063,0.03733531606625282,0.06960999037582606,0.09163955088077776,0.10799832373598707,0.11084731456035103,0.12256325149681162,0.1256928517983288,0.13049461993396716
histogram_K=10,COMPLETENESS,0.08030158998992029,0.0766982229551788,0.11665790426749709,0.1433734381863483,0.15087855348078297,0.1411365513991471,0.1401631731422704,0.1341073513982145,0.13190881273208488
histogram_K=10,V_MEASURE,0.03623727177644555,0.05022298562904985,0.08719221966699343,0.11181235161327316,0.12588710926075303,0.1241715031978992,0.13077370701501784,0.12976383572425515,0.13119790551917743
histogram_K=10,FOWLKES_MALLOWS,0.2709083684888904,0.22011426256226568,0.21491333902098675,0.2143698018655663,0.20081618332778678,0.18878623391145652,0.17759701277998713,0.16815099349646592,0.16367671656245655
histogram_K=2,NMI,0.06872979492251287,0.07539603389383609,0.07608169610143727,0.07803305906395099,0.08014870281590654,0.08054606321918499,0.08045128895819054,0.07934978316765956,0.08180027640990005
histogram_K=2,AMI,0.06868908416996417,0.07532056240993701,0.07597346295098198,0.07789240661122332,0.07997881793741292,0.08034649959410335,0.08022266588366395,0.07909096343635065,0.08151299961407421
histogram_K=2,ARI,0.03518430950205531,0.04196272725678062,0.04319126094655834,0.043408881904753324,0.046429936920990955,0.04728735959273217,0.0477261545445636,0.04818354362271114,0.048291144174460954
histogram_K=2,HOMOGENEITY,0.04472482809039768,0.05256684996747292,0.05545515331630651,0.05825196983407934,0.06178670715505669,0.06341657678539829,0.06452867492286507,0.06434767240147296,0.06707522156260652
histogram_K=2,COMPLETENESS,0.14835660452933364,0.13327649844344952,0.12113954755941889,0.1181563647949623,0.11403931677023883,0.11035378469675493,0.10680592044518886,0.10347382182289834,0.10480905808599
histogram_K=2,V_MEASURE,0.06872979492251287,0.07539603389383609,0.07608169610143725,0.07803305906395099,0.08014870281590654,0.08054606321918498,0.08045128895819054,0.07934978316765955,0.08180027640990004
histogram_K=2,FOWLKES_MALLOWS,0.2805991116908264,0.27044207054602376,0.2608814477854727,0.25694734202549835,0.2534500370291796,0.24981302973967487,0.24604162744756275,0.24514233185800383,0.24335391156139266
histogram_K=3,NMI,0.0368160707070359,0.09638118082128236,0.09639666582843334,0.10193663476632873,0.10162486595982907,0.10664814032176644,0.10893644683453882,0.10867521954342704,0.106944408073815
histogram_K=3,AMI,0.03677416692761493,0.09631102672702957,0.09629707788260963,0.10181007660422892,0.1014717764875553,0.10646982784530176,0.10873369137252872,0.10844763746092873,0.10669222916746567
