Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,0,1,2,1,1,0,1,1,0
1119.0,6,4,4,5,5,4,1,1,0
1316.0,8,7,7,1,1,0,1,1,0
1452.0,8,7,7,1,1,0,1,1,0
1453.0,8,7,7,1,1,0,1,0,0
1454.0,7,1,2,0,4,1,3,2,1
1461.0,7,1,2,0,4,1,3,2,1
1463.0,8,1,2,1,1,0,1,1,0
1468.0,7,1,1,1,1,0,1,1,0
1472.0,5,2,0,1,0,2,2,0,0
1539.0,8,7,7,1,1,0,1,1,0
1578.0,7,1,2,0,4,1,3,2,1
1583.0,0,0,1,1,1,0,1,1,0
1587.0,5,2,1,1,0,2,2,0,0
1588.0,5,2,0,2,0,2,2,0,0
1589.0,8,0,1,1,1,0,1,1,0
1590.0,0,0,1,1,1,0,1,1,0
1592.0,8,7,7,1,1,0,1,1,0
1598.0,7,1,2,1,1,0,1,1,0
1747.0,8,7,7,1,1,0,1,1,0
1752.0,0,0,1,1,1,0,1,1,0
1755.0,0,7,1,1,1,0,1,1,0
1788.0,0,0,1,1,1,0,1,1,0
1858.0,0,0,1,1,1,0,1,1,0
1953.0,3,3,3,1,1,0,1,0,0
1963.0,7,1,2,0,4,1,3,2,1
