,Image,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
0,MB16CC001,0,0,0,6,0,0,0,2,1
1,MB16CC001,5,7,2,5,2,3,1,0,0
2,MB16CC001,9,2,2,2,2,2,1,0,0
3,MB16CC001,2,1,5,0,1,1,2,1,0
4,MB16CC001,7,6,1,4,4,1,2,1,0
5,MB16CC001,2,1,5,0,1,1,2,1,0
6,MB16CC001,8,0,0,6,0,0,0,2,1
7,MB16CC001,2,1,5,0,1,1,2,1,0
8,MB16CC001,2,1,5,0,1,1,2,1,0
9,MB16CC001,2,1,5,0,1,1,2,1,0
10,MB16CC001,8,0,0,6,0,0,0,2,1
11,MB16CC001,2,1,5,0,1,1,2,1,0
12,MB16CC001,2,1,5,0,1,1,2,1,0
13,MB16CC001,1,4,4,5,4,3,1,1,0
14,MB16CC001,2,1,5,0,1,1,2,1,0
15,MB16CC001,2,1,5,0,1,1,2,1,0
16,MB16CC001,2,1,5,0,1,1,2,1,0
17,MB16CC001,6,3,3,1,5,4,3,2,1
18,MB16CC001,2,1,5,0,1,1,2,1,0
19,MB16CC001,1,4,4,4,4,3,1,1,0
20,MB16CC001,6,3,3,3,5,4,3,2,1
21,MB16CC001,2,1,5,0,1,1,2,1,0
22,MB16CC001,2,1,5,0,1,1,2,1,0
23,MB16CC001,2,1,5,0,1,1,2,1,0
24,MB16CC001,2,1,5,0,1,1,2,1,0
25,MB16CC001,2,1,5,0,1,1,2,1,0
26,MB16CC001,2,1,5,0,1,1,2,1,0
27,MB16CC001,1,4,1,4,4,3,2,1,0
28,MB16CC001,2,1,5,0,1,1,2,1,0
29,MB16CC001,2,1,5,0,1,1,2,1,0
30,MB16CC002,0,0,0,6,0,0,0,2,1
31,MB16CC002,2,1,5,0,1,1,2,1,0
32,MB16CC002,2,1,5,0,1,1,2,1,0
33,MB16CC002,7,6,1,4,4,1,2,1,0
34,MB16CC002,5,7,4,5,2,3,1,0,0
35,MB16CC002,5,7,2,5,2,3,1,0,0
36,MB16CC002,5,7,2,2,2,3,1,0,0
37,MB16CC002,2,1,5,0,1,1,2,1,0
38,MB16CC002,8,5,6,6,0,0,0,2,1
39,MB16CC002,1,4,4,5,4,3,1,1,0
40,MB16CC002,8,0,0,6,0,0,0,2,1
41,MB16CC002,3,8,7,3,3,2,3,0,1
42,MB16CC002,0,0,0,6,0,0,0,2,1
43,MB16CC002,2,1,5,0,1,1,2,1,0
44,MB16CC002,5,7,2,2,2,3,1,0,0
45,MB16CC002,2,1,5,0,1,1,2,1,0
46,MB16CC002,2,1,5,0,1,1,2,1,0
47,MB16CC002,3,8,7,3,3,2,3,0,1
48,MB16CC002,4,3,3,1,5,4,3,2,1
49,MB16CC002,2,1,5,0,1,1,2,1,0
50,MB16CC002,5,7,2,5,2,3,1,0,0
51,MB16CC002,2,1,5,0,1,1,2,1,0
52,MB16CC002,2,1,5,0,1,1,2,1,0
53,MB16CC002,4,5,6,1,5,4,3,2,1
54,MB16CC002,5,7,2,2,2,3,1,0,0
55,MB16CC002,4,5,6,1,5,4,3,2,1
56,MB16CC002,0,0,0,6,0,0,0,2,1
57,MB16CC002,2,1,5,0,1,1,2,1,0
58,MB16CC002,6,3,3,3,3,4,3,2,1
59,MB16CC002,0,0,0,6,0,0,0,2,1
60,MB16CC003,2,1,5,0,1,1,2,1,0
61,MB16CC003,2,1,5,0,1,1,2,1,0
62,MB16CC003,9,2,2,2,2,2,1,0,0
63,MB16CC003,5,7,2,2,2,3,1,0,0
64,MB16CC003,2,1,5,0,1,1,2,1,0
65,MB16CC003,1,4,4,5,4,3,1,0,0
66,MB16CC003,1,4,4,5,4,3,1,1,0
67,MB16CC003,9,2,2,2,2,2,1,0,0
68,MB16CC003,5,7,4,5,4,3,1,0,0
69,MB16CC003,7,6,1,4,4,1,2,1,0
70,MB16CC003,5,2,2,2,2,3,1,0,0
71,MB16CC003,2,1,5,0,1,1,2,1,0
72,MB16CC003,2,1,5,0,1,1,2,1,0
73,MB16CC003,2,1,5,0,1,1,2,1,0
74,MB16CC003,7,6,1,4,1,1,2,1,0
75,MB16CC003,5,7,2,5,2,3,1,0,0
76,MB16CC003,4,5,6,1,5,4,3,2,1
77,MB16CC003,8,0,0,6,0,0,0,2,1
78,MB16CC003,0,0,0,6,0,0,0,2,1
79,MB16CC003,8,0,0,6,0,0,0,2,1
80,MB16CC003,3,8,7,3,3,2,3,0,1
81,MB16CC003,6,3,3,3,3,4,3,2,1
82,MB16CC003,0,0,0,6,0,0,0,2,1
83,MB16CC003,3,8,7,3,3,2,3,0,1
84,MB16CC003,2,1,5,0,1,1,2,1,0
85,MB16CC003,0,0,0,6,0,0,0,2,1
86,MB16CC003,2,1,5,0,1,1,2,1,0
87,MB16CC003,5,7,2,5,2,3,1,0,0
88,MB16CC003,9,2,2,2,2,2,1,0,0
89,MB16CC003,2,1,5,0,1,1,2,1,0
90,MB16CC004,0,0,0,6,0,0,0,2,1
91,MB16CC004,2,1,5,0,1,1,2,1,0
92,MB16CC004,7,6,1,4,1,1,2,1,0
93,MB16CC004,8,0,0,6,0,0,0,2,1
94,MB16CC004,5,2,2,2,2,3,1,0,0
95,MB16CC004,7,6,1,0,1,1,2,1,0
96,MB16CC004,2,1,5,0,1,1,2,1,0
97,MB16CC004,4,5,6,1,5,4,0,2,1
98,MB16CC004,0,0,0,6,0,0,0,2,1
99,MB16CC004,1,4,4,4,4,3,1,1,0
100,MB16CC004,0,0,0,6,0,0,0,2,1
101,MB16CC004,5,7,2,5,2,3,1,0,0
102,MB16CC004,4,5,6,1,5,4,0,2,1
103,MB16CC004,1,4,1,4,4,3,2,1,0
104,MB16CC004,7,6,1,4,1,1,2,1,0
105,MB16CC004,2,1,5,0,1,1,2,1,0
106,MB16CC004,2,1,5,0,1,1,2,1,0
107,MB16CC004,2,1,5,0,1,1,2,1,0
108,MB16CC004,2,1,5,0,1,1,2,1,0
109,MB16CC004,0,0,0,6,0,0,0,2,1
110,MB16CC004,2,1,5,0,1,1,2,1,0
111,MB16CC004,9,2,2,2,2,2,1,0,0
112,MB16CC004,7,6,1,4,4,1,2,1,0
113,MB16CC004,3,8,7,3,3,2,3,0,1
