,Image,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
0,MB16CC004,7,0,4,4,0,0,2,2,0
1,MB16CC004,1,3,2,1,1,0,0,2,1
2,MB16CC004,1,7,2,1,1,0,2,2,1
3,MB16CC004,5,2,0,6,1,0,2,2,1
4,MB16CC004,5,7,2,1,1,0,2,2,1
5,MB16CC004,7,0,4,4,0,3,3,0,0
6,MB16CC004,0,2,0,6,1,2,2,2,0
7,MB16CC004,5,7,2,1,1,0,2,2,1
8,MB16CC004,4,1,3,6,1,1,1,1,1
9,MB16CC004,5,7,0,1,1,0,2,2,1
10,MB16CC004,4,1,3,6,1,0,2,1,1
11,MB16CC004,0,2,0,6,1,0,2,2,1
12,MB16CC004,4,1,3,5,2,1,1,1,1
13,MB16CC004,5,7,0,4,1,0,2,2,1
14,MB16CC004,5,7,0,6,1,0,2,1,1
15,MB16CC004,7,0,4,4,0,4,0,2,1
16,MB16CC004,4,2,0,6,1,0,2,1,1
17,MB16CC004,5,7,2,1,1,0,2,2,1
18,MB16CC004,5,7,0,4,1,0,2,2,1
19,MB16CC004,5,7,3,1,1,0,2,1,1
20,MB16CC004,7,0,4,4,0,0,0,2,0
21,MB16CC004,5,7,0,1,1,0,2,2,1
22,MB16CC005,3,1,3,1,1,1,1,1,1
23,MB16CC005,4,2,0,6,1,0,2,1,1
24,MB16CC005,0,2,0,6,1,0,2,2,1
25,MB16CC005,1,7,2,1,1,0,2,2,1
26,MB16CC005,0,2,0,4,0,2,2,0,0
27,MB16CC005,0,2,5,6,4,2,2,1,0
28,MB16CC005,5,7,2,1,1,0,2,1,1
29,MB16CC005,9,6,5,2,4,2,3,0,0
30,MB16CC005,4,2,0,6,1,2,2,1,1
31,MB16CC005,7,0,4,4,0,0,2,0,0
32,MB16CC005,1,0,2,4,0,4,0,2,1
33,MB16CC005,5,7,0,6,1,0,2,2,1
34,MB16CC005,3,3,3,1,5,1,1,1,1
35,MB16CC005,5,7,2,1,1,0,2,2,1
36,MB16CC005,0,2,4,4,0,0,2,0,0
37,MB16CC005,4,7,0,6,1,0,2,1,1
38,MB16CC005,1,3,1,3,5,4,0,2,1
39,MB16CC005,5,7,2,1,1,0,2,2,1
40,MB16CC005,7,0,4,4,0,3,3,0,0
41,MB16CC005,1,3,2,1,1,0,0,2,1
42,MB16CC005,3,3,3,5,5,1,1,1,1
43,MB16CC005,3,1,3,5,2,1,1,1,1
44,MB16CC005,7,0,4,4,0,4,0,2,0
45,MB16CC005,5,7,3,1,1,0,2,1,1
46,MB16CC005,1,3,2,1,5,4,0,2,1
47,MB16CC005,5,7,0,6,1,0,2,1,1
48,MB16CC005,7,0,4,4,0,0,0,2,1
49,MB16CC005,7,0,4,4,0,0,0,2,0
50,MB16CC005,4,1,3,6,1,0,2,1,1
51,MB16CC005,3,1,3,1,2,1,1,1,1
52,MB16CC005,0,2,0,4,0,2,2,2,0
53,MB16CC005,5,7,0,6,1,0,2,2,1
54,MB16CC005,3,1,3,1,1,1,1,1,1
55,MB16CC005,1,3,1,3,5,4,0,2,1
56,MB16CC005,1,3,2,3,5,4,0,2,1
57,MB16CC005,7,0,4,4,0,0,0,2,0
58,MB16CC005,4,1,3,6,1,0,2,1,1
59,MB16CC005,1,3,2,1,1,0,0,2,1
60,MB16CC005,4,2,0,6,4,2,2,1,1
61,MB16CC005,0,6,5,2,4,2,3,0,0
62,MB16CC005,1,3,2,1,0,4,0,2,1
63,MB16CC005,5,7,2,1,1,0,2,2,1
64,MB16CC006,3,1,3,5,2,1,1,1,1
65,MB16CC006,7,0,4,4,0,3,3,0,0
66,MB16CC006,5,7,2,1,1,0,2,2,1
